"Category","pred2.Gun Control","pred2.Gun Rights","pred2.Neither","pred1"
"Gun Rights",0.084507042,0.892018779,0.023474178,"Gun Rights"
"Gun Rights",0.391705069,0.608294931,0.000000000,"Gun Rights"
"Neither",0.116822430,0.883177570,0.000000000,"Gun Rights"
"Gun Rights",0.309090909,0.686363636,0.004545455,"Gun Rights"
"Gun Rights",0.253521127,0.727699531,0.018779343,"Gun Rights"
"Gun Control",0.229268293,0.746341463,0.024390244,"Gun Rights"
"Neither",0.082125604,0.859903382,0.057971014,"Gun Rights"
"Gun Rights",0.097777778,0.862222222,0.040000000,"Gun Rights"
"Gun Rights",0.109243697,0.886554622,0.004201681,"Gun Rights"
"Gun Control",0.522935780,0.399082569,0.077981651,"Gun Control"
"Neither",0.099056604,0.877358491,0.023584906,"Gun Rights"
"Gun Control",0.727272727,0.194214876,0.078512397,"Gun Control"
"Gun Rights",0.586206897,0.396551724,0.017241379,"Gun Control"
"Gun Control",0.878661088,0.121338912,0.000000000,"Gun Control"
"Gun Rights",0.727272727,0.224880383,0.047846890,"Gun Control"
"Neither",0.769565217,0.108695652,0.121739130,"Gun Control"
"Gun Rights",0.649769585,0.317972350,0.032258065,"Gun Control"
"Gun Control",0.560000000,0.435000000,0.005000000,"Gun Control"
"Gun Rights",0.685714286,0.314285714,0.000000000,"Gun Control"
"Gun Rights",0.740259740,0.255411255,0.004329004,"Gun Control"
"Gun Rights",0.778846154,0.221153846,0.000000000,"Gun Control"
"Gun Rights",0.630841121,0.350467290,0.018691589,"Gun Control"
"Gun Control",0.656108597,0.307692308,0.036199095,"Gun Control"
"Gun Rights",0.752173913,0.226086957,0.021739130,"Gun Control"
"Gun Rights",0.753424658,0.237442922,0.009132420,"Gun Control"
"Gun Control",0.629807692,0.355769231,0.014423077,"Gun Control"
"Gun Rights",0.846808511,0.106382979,0.046808511,"Gun Control"
"Gun Rights",0.837209302,0.162790698,0.000000000,"Gun Control"
"Gun Rights",0.819047619,0.166666667,0.014285714,"Gun Control"
"Gun Rights",0.720524017,0.279475983,0.000000000,"Gun Control"
"Gun Rights",0.083700441,0.859030837,0.057268722,"Gun Rights"
"Gun Rights",0.188596491,0.793859649,0.017543860,"Gun Rights"
"Gun Rights",0.203389831,0.792372881,0.004237288,"Gun Rights"
"Gun Control",0.440909091,0.545454545,0.013636364,"Gun Rights"
"Gun Control",0.347417840,0.647887324,0.004694836,"Gun Rights"
"Gun Rights",0.264069264,0.731601732,0.004329004,"Gun Rights"
"Gun Control",0.145631068,0.854368932,0.000000000,"Gun Rights"
"Gun Rights",0.555555556,0.435555556,0.008888889,"Gun Control"
"Gun Control",0.790794979,0.200836820,0.008368201,"Gun Control"
"Gun Control",0.855813953,0.139534884,0.004651163,"Gun Control"
"Gun Rights",0.798122066,0.159624413,0.042253521,"Gun Control"
"Gun Control",0.570776256,0.424657534,0.004566210,"Gun Control"
"Gun Rights",0.589041096,0.369863014,0.041095890,"Gun Control"
"Gun Rights",0.646788991,0.348623853,0.004587156,"Gun Control"
"Gun Rights",0.585714286,0.409523810,0.004761905,"Gun Control"
"Neither",0.787439614,0.082125604,0.130434783,"Gun Control"
"Gun Control",0.768115942,0.227053140,0.004830918,"Gun Control"
"Neither",0.796296296,0.203703704,0.000000000,"Gun Control"
"Gun Rights",0.553990610,0.441314554,0.004694836,"Gun Control"
"Gun Rights",0.828703704,0.162037037,0.009259259,"Gun Control"
"Gun Control",0.792079208,0.202970297,0.004950495,"Gun Control"
"Gun Rights",0.625550661,0.374449339,0.000000000,"Gun Control"
"Neither",0.686956522,0.269565217,0.043478261,"Gun Control"
"Gun Control",0.761904762,0.223809524,0.014285714,"Gun Control"
"Gun Rights",0.679824561,0.307017544,0.013157895,"Gun Control"
"Gun Rights",0.708333333,0.263888889,0.027777778,"Gun Control"
"Gun Rights",0.626609442,0.373390558,0.000000000,"Gun Control"
"Gun Rights",0.711627907,0.279069767,0.009302326,"Gun Control"
"Gun Control",0.283720930,0.716279070,0.000000000,"Gun Rights"
"Neither",0.078602620,0.834061135,0.087336245,"Gun Rights"
"Gun Rights",0.338164251,0.618357488,0.043478261,"Gun Rights"
"Gun Rights",0.390134529,0.609865471,0.000000000,"Gun Rights"
"Neither",0.331818182,0.631818182,0.036363636,"Gun Rights"
"Gun Rights",0.090128755,0.905579399,0.004291845,"Gun Rights"
"Gun Control",0.524390244,0.463414634,0.012195122,"Gun Control"
"Neither",0.412322275,0.540284360,0.047393365,"Gun Rights"
"Gun Control",0.460829493,0.506912442,0.032258065,"Gun Rights"
"Gun Control",0.429245283,0.495283019,0.075471698,"Gun Rights"
"Gun Control",0.300000000,0.630000000,0.070000000,"Gun Rights"
"Gun Control",0.240384615,0.754807692,0.004807692,"Gun Rights"
"Gun Rights",0.328767123,0.671232877,0.000000000,"Gun Rights"
"Neither",0.330508475,0.661016949,0.008474576,"Gun Rights"
"Gun Control",0.361111111,0.638888889,0.000000000,"Gun Rights"
"Gun Rights",0.186915888,0.808411215,0.004672897,"Gun Rights"
"Gun Rights",0.276190476,0.723809524,0.000000000,"Gun Rights"
"Gun Rights",0.365145228,0.618257261,0.016597510,"Gun Rights"
"Gun Control",0.281512605,0.701680672,0.016806723,"Gun Rights"
"Gun Rights",0.377990431,0.612440191,0.009569378,"Gun Rights"
"Gun Control",0.361607143,0.629464286,0.008928571,"Gun Rights"
"Gun Rights",0.065727700,0.901408451,0.032863850,"Gun Rights"
"Gun Rights",0.357142857,0.598214286,0.044642857,"Gun Rights"
"Gun Control",0.292237443,0.666666667,0.041095890,"Gun Rights"
"Neither",0.454545455,0.513636364,0.031818182,"Gun Rights"
"Gun Rights",0.578947368,0.399122807,0.021929825,"Gun Control"
"Neither",0.740384615,0.245192308,0.014423077,"Gun Control"
"Neither",0.571428571,0.379464286,0.049107143,"Gun Control"
"Gun Control",0.784403670,0.183486239,0.032110092,"Gun Control"
"Gun Control",0.493212670,0.497737557,0.009049774,"Gun Rights"
"Gun Rights",0.757142857,0.204761905,0.038095238,"Gun Control"
"Gun Rights",0.688596491,0.307017544,0.004385965,"Gun Control"
"Gun Control",0.572727273,0.422727273,0.004545455,"Gun Control"
"Neither",0.696832579,0.226244344,0.076923077,"Gun Control"
"Gun Rights",0.681372549,0.313725490,0.004901961,"Gun Control"
"Gun Rights",0.852017937,0.147982063,0.000000000,"Gun Control"
"Gun Rights",0.188340807,0.811659193,0.000000000,"Gun Rights"
"Gun Control",0.629629630,0.351851852,0.018518519,"Gun Control"
"Neither",0.644549763,0.260663507,0.094786730,"Gun Control"
"Gun Control",0.568965517,0.375000000,0.056034483,"Gun Control"
"Gun Rights",0.340517241,0.633620690,0.025862069,"Gun Rights"
"Gun Rights",0.632286996,0.363228700,0.004484305,"Gun Control"
"Gun Rights",0.685990338,0.314009662,0.000000000,"Gun Control"
"Gun Rights",0.557077626,0.438356164,0.004566210,"Gun Control"
"Gun Rights",0.571428571,0.405529954,0.023041475,"Gun Control"
"Gun Rights",0.560000000,0.440000000,0.000000000,"Gun Control"
"Gun Rights",0.728571429,0.257142857,0.014285714,"Gun Control"
"Gun Rights",0.740566038,0.259433962,0.000000000,"Gun Control"
"Gun Rights",0.684931507,0.264840183,0.050228311,"Gun Control"
"Gun Control",0.697368421,0.289473684,0.013157895,"Gun Control"
"Gun Control",0.456140351,0.535087719,0.008771930,"Gun Rights"
"Gun Control",0.384937238,0.610878661,0.004184100,"Gun Rights"
"Gun Control",0.467289720,0.532710280,0.000000000,"Gun Rights"
"Gun Control",0.393805310,0.606194690,0.000000000,"Gun Rights"
"Neither",0.507614213,0.467005076,0.025380711,"Gun Control"
"Gun Control",0.300000000,0.700000000,0.000000000,"Gun Rights"
"Gun Rights",0.344660194,0.567961165,0.087378641,"Gun Rights"
"Gun Control",0.463963964,0.536036036,0.000000000,"Gun Rights"
"Gun Control",0.389908257,0.600917431,0.009174312,"Gun Rights"
"Gun Control",0.317596567,0.665236052,0.017167382,"Gun Rights"
"Gun Rights",0.306306306,0.680180180,0.013513514,"Gun Rights"
"Gun Control",0.497630332,0.492890995,0.009478673,"Gun Control"
"Gun Control",0.410628019,0.584541063,0.004830918,"Gun Rights"
"Gun Control",0.603305785,0.392561983,0.004132231,"Gun Control"
"Gun Rights",0.160377358,0.787735849,0.051886792,"Gun Rights"
"Gun Control",0.285714286,0.670995671,0.043290043,"Gun Rights"
"Neither",0.478672986,0.473933649,0.047393365,"Gun Control"
"Gun Rights",0.288990826,0.701834862,0.009174312,"Gun Rights"
"Gun Control",0.523404255,0.463829787,0.012765957,"Gun Control"
"Gun Control",0.427927928,0.545045045,0.027027027,"Gun Rights"
"Gun Rights",0.298578199,0.696682464,0.004739336,"Gun Rights"
"Gun Control",0.711442786,0.258706468,0.029850746,"Gun Control"
"Gun Control",0.634920635,0.365079365,0.000000000,"Gun Control"
"Neither",0.462311558,0.487437186,0.050251256,"Gun Rights"
"Gun Control",0.453744493,0.511013216,0.035242291,"Gun Rights"
"Neither",0.502202643,0.431718062,0.066079295,"Gun Control"
"Gun Rights",0.531914894,0.442553191,0.025531915,"Gun Control"
"Gun Control",0.567164179,0.412935323,0.019900498,"Gun Control"
"Gun Rights",0.551886792,0.433962264,0.014150943,"Gun Control"
"Gun Rights",0.502325581,0.497674419,0.000000000,"Gun Control"
"Gun Rights",0.742358079,0.253275109,0.004366812,"Gun Control"
"Gun Rights",0.606481481,0.393518519,0.000000000,"Gun Control"
"Gun Control",0.767772512,0.232227488,0.000000000,"Gun Control"
"Gun Control",0.536170213,0.446808511,0.017021277,"Gun Control"
"Gun Rights",0.588785047,0.397196262,0.014018692,"Gun Control"
"Gun Rights",0.563380282,0.333333333,0.103286385,"Gun Control"
"Gun Rights",0.647058824,0.348739496,0.004201681,"Gun Control"
"Gun Rights",0.500000000,0.491228070,0.008771930,"Gun Control"
"Gun Control",0.444915254,0.546610169,0.008474576,"Gun Rights"
"Neither",0.388646288,0.606986900,0.004366812,"Gun Rights"
"Gun Rights",0.581497797,0.405286344,0.013215859,"Gun Control"
"Gun Rights",0.285087719,0.706140351,0.008771930,"Gun Rights"
"Gun Rights",0.555023923,0.425837321,0.019138756,"Gun Control"
"Gun Control",0.718614719,0.255411255,0.025974026,"Gun Control"
"Gun Rights",0.429864253,0.565610860,0.004524887,"Gun Rights"
"Neither",0.627906977,0.353488372,0.018604651,"Gun Control"
"Neither",0.712389381,0.283185841,0.004424779,"Gun Control"
"Gun Control",0.665198238,0.176211454,0.158590308,"Gun Control"
"Gun Rights",0.654708520,0.286995516,0.058295964,"Gun Control"
"Gun Rights",0.676190476,0.319047619,0.004761905,"Gun Control"
"Gun Control",0.754545455,0.236363636,0.009090909,"Gun Control"
"Neither",0.468181818,0.122727273,0.409090909,"Gun Control"
"Gun Control",0.539823009,0.407079646,0.053097345,"Gun Control"
"Gun Rights",0.482608696,0.517391304,0.000000000,"Gun Rights"
"Neither",0.423963134,0.562211982,0.013824885,"Gun Rights"
"Gun Rights",0.358851675,0.641148325,0.000000000,"Gun Rights"
"Gun Rights",0.493562232,0.459227468,0.047210300,"Gun Control"
"Gun Rights",0.421568627,0.558823529,0.019607843,"Gun Rights"
"Gun Control",0.718061674,0.167400881,0.114537445,"Gun Control"
"Gun Rights",0.447488584,0.538812785,0.013698630,"Gun Rights"
"Gun Rights",0.506550218,0.467248908,0.026200873,"Gun Control"
"Gun Rights",0.386831276,0.600823045,0.012345679,"Gun Rights"
"Neither",0.349794239,0.613168724,0.037037037,"Gun Rights"
"Gun Control",0.497716895,0.479452055,0.022831050,"Gun Control"
"Gun Control",0.788135593,0.199152542,0.012711864,"Gun Control"
"Gun Control",0.253658537,0.736585366,0.009756098,"Gun Rights"
"Gun Control",0.482758621,0.463054187,0.054187192,"Gun Control"
"Gun Control",0.514285714,0.480952381,0.004761905,"Gun Control"
"Gun Control",0.658008658,0.320346320,0.021645022,"Gun Control"
"Gun Rights",0.290598291,0.679487179,0.029914530,"Gun Rights"
"Gun Control",0.497512438,0.502487562,0.000000000,"Gun Rights"
"Gun Control",0.670995671,0.320346320,0.008658009,"Gun Control"
"Gun Control",0.444976077,0.531100478,0.023923445,"Gun Rights"
"Gun Rights",0.303030303,0.692640693,0.004329004,"Gun Rights"
"Gun Rights",0.427927928,0.554054054,0.018018018,"Gun Rights"
"Gun Control",0.239669421,0.739669421,0.020661157,"Gun Rights"
"Gun Control",0.421800948,0.540284360,0.037914692,"Gun Rights"
"Neither",0.176991150,0.800884956,0.022123894,"Gun Rights"
"Gun Control",0.585585586,0.382882883,0.031531532,"Gun Control"
"Gun Control",0.519148936,0.480851064,0.000000000,"Gun Control"
"Gun Control",0.648068670,0.339055794,0.012875536,"Gun Control"
"Gun Control",0.569444444,0.416666667,0.013888889,"Gun Control"
"Gun Rights",0.295454545,0.686363636,0.018181818,"Gun Rights"
"Gun Rights",0.197424893,0.802575107,0.000000000,"Gun Rights"
"Gun Control",0.425925926,0.560185185,0.013888889,"Gun Rights"
"Gun Control",0.353773585,0.641509434,0.004716981,"Gun Rights"
"Gun Control",0.441964286,0.540178571,0.017857143,"Gun Rights"
"Gun Control",0.293577982,0.665137615,0.041284404,"Gun Rights"
"Gun Rights",0.383561644,0.607305936,0.009132420,"Gun Rights"
"Gun Rights",0.337899543,0.652968037,0.009132420,"Gun Rights"
"Gun Control",0.425531915,0.563829787,0.010638298,"Gun Rights"
"Gun Control",0.491071429,0.482142857,0.026785714,"Gun Control"
"Gun Control",0.706730769,0.293269231,0.000000000,"Gun Control"
"Gun Control",0.350000000,0.645454545,0.004545455,"Gun Rights"
"Gun Control",0.199052133,0.753554502,0.047393365,"Gun Rights"
"Gun Control",0.621359223,0.368932039,0.009708738,"Gun Control"
"Neither",0.306930693,0.688118812,0.004950495,"Gun Rights"
"Gun Rights",0.262910798,0.732394366,0.004694836,"Gun Rights"
"Gun Rights",0.452914798,0.520179372,0.026905830,"Gun Rights"
"Gun Rights",0.039024390,0.956097561,0.004878049,"Gun Rights"
"Neither",0.323529412,0.127450980,0.549019608,"Neither"
"Gun Rights",0.370535714,0.616071429,0.013392857,"Gun Rights"
"Gun Control",0.614457831,0.381526104,0.004016064,"Gun Control"
"Gun Rights",0.453744493,0.537444934,0.008810573,"Gun Rights"
"Gun Control",0.521551724,0.474137931,0.004310345,"Gun Control"
"Gun Rights",0.482300885,0.482300885,0.035398230,"Gun Rights"
"Gun Control",0.666666667,0.263888889,0.069444444,"Gun Control"
"Gun Control",0.636792453,0.245283019,0.117924528,"Gun Control"
"Neither",0.519650655,0.432314410,0.048034934,"Gun Control"
"Gun Rights",0.515695067,0.448430493,0.035874439,"Gun Control"
"Gun Rights",0.456140351,0.526315789,0.017543860,"Gun Rights"
"Gun Rights",0.074074074,0.925925926,0.000000000,"Gun Rights"
"Neither",0.478632479,0.517094017,0.004273504,"Gun Rights"
"Gun Control",0.515695067,0.484304933,0.000000000,"Gun Control"
"Gun Rights",0.622641509,0.367924528,0.009433962,"Gun Control"
"Gun Rights",0.488986784,0.497797357,0.013215859,"Gun Rights"
"Gun Rights",0.288888889,0.711111111,0.000000000,"Gun Rights"
"Gun Control",0.453271028,0.537383178,0.009345794,"Gun Rights"
"Neither",0.637305699,0.352331606,0.010362694,"Gun Control"
"Gun Rights",0.443925234,0.509345794,0.046728972,"Gun Rights"
"Gun Rights",0.681614350,0.304932735,0.013452915,"Gun Control"
"Gun Rights",0.603686636,0.377880184,0.018433180,"Gun Control"
"Gun Rights",0.250000000,0.731481481,0.018518519,"Gun Rights"
"Gun Rights",0.423963134,0.566820276,0.009216590,"Gun Rights"
"Gun Rights",0.479166667,0.479166667,0.041666667,"Gun Control"
"Gun Rights",0.436440678,0.516949153,0.046610169,"Gun Rights"
"Gun Rights",0.560000000,0.417777778,0.022222222,"Gun Control"
"Neither",0.458333333,0.421296296,0.120370370,"Gun Control"
"Gun Rights",0.649350649,0.346320346,0.004329004,"Gun Control"
"Gun Rights",0.598290598,0.388888889,0.012820513,"Gun Control"
"Gun Rights",0.634703196,0.333333333,0.031963470,"Gun Control"
"Gun Rights",0.451923077,0.538461538,0.009615385,"Gun Rights"
"Gun Control",0.502262443,0.484162896,0.013574661,"Gun Control"
"Neither",0.412556054,0.556053812,0.031390135,"Gun Rights"
"Gun Rights",0.481651376,0.518348624,0.000000000,"Gun Rights"
"Gun Control",0.511312217,0.470588235,0.018099548,"Gun Control"
"Neither",0.497797357,0.303964758,0.198237885,"Gun Control"
"Gun Control",0.469026549,0.526548673,0.004424779,"Gun Rights"
"Gun Control",0.453658537,0.531707317,0.014634146,"Gun Rights"
"Gun Control",0.734782609,0.256521739,0.008695652,"Gun Control"
"Gun Control",0.453389831,0.538135593,0.008474576,"Gun Rights"
"Gun Control",0.512605042,0.470588235,0.016806723,"Gun Control"
"Gun Control",0.508771930,0.456140351,0.035087719,"Gun Control"
"Gun Control",0.485106383,0.510638298,0.004255319,"Gun Rights"
"Gun Control",0.353711790,0.641921397,0.004366812,"Gun Rights"
"Gun Rights",0.380530973,0.615044248,0.004424779,"Gun Rights"
"Gun Control",0.491071429,0.491071429,0.017857143,"Gun Control"
"Gun Rights",0.137777778,0.835555556,0.026666667,"Gun Rights"
"Neither",0.522522523,0.459459459,0.018018018,"Gun Control"
"Gun Control",0.492682927,0.468292683,0.039024390,"Gun Control"
"Gun Control",0.533039648,0.458149780,0.008810573,"Gun Control"
"Gun Control",0.500000000,0.471153846,0.028846154,"Gun Control"
"Gun Control",0.336448598,0.658878505,0.004672897,"Gun Rights"
"Gun Control",0.513274336,0.469026549,0.017699115,"Gun Control"
"Neither",0.372093023,0.586046512,0.041860465,"Gun Rights"
"Gun Control",0.509523810,0.404761905,0.085714286,"Gun Control"
"Gun Control",0.592039801,0.402985075,0.004975124,"Gun Control"
"Gun Control",0.547085202,0.443946188,0.008968610,"Gun Control"
"Neither",0.500000000,0.487179487,0.012820513,"Gun Control"
"Gun Control",0.555555556,0.444444444,0.000000000,"Gun Control"
"Gun Control",0.461904762,0.523809524,0.014285714,"Gun Rights"
"Gun Control",0.457446809,0.515957447,0.026595745,"Gun Rights"
"Gun Control",0.460526316,0.504385965,0.035087719,"Gun Rights"
"Gun Rights",0.730290456,0.261410788,0.008298755,"Gun Control"
"Gun Control",0.470852018,0.506726457,0.022421525,"Gun Rights"
"Gun Control",0.375565611,0.520361991,0.104072398,"Gun Rights"
"Gun Control",0.318965517,0.681034483,0.000000000,"Gun Rights"
"Gun Control",0.400843882,0.599156118,0.000000000,"Gun Rights"
"Gun Control",0.327354260,0.609865471,0.062780269,"Gun Rights"
"Gun Control",0.396226415,0.599056604,0.004716981,"Gun Rights"
"Gun Rights",0.342723005,0.657276995,0.000000000,"Gun Rights"
"Gun Control",0.433333333,0.508333333,0.058333333,"Gun Rights"
"Gun Control",0.358407080,0.641592920,0.000000000,"Gun Rights"
"Gun Control",0.367713004,0.582959641,0.049327354,"Gun Rights"
"Gun Control",0.541666667,0.444444444,0.013888889,"Gun Control"
"Gun Rights",0.330232558,0.669767442,0.000000000,"Gun Rights"
"Gun Control",0.446511628,0.534883721,0.018604651,"Gun Rights"
"Neither",0.403361345,0.579831933,0.016806723,"Gun Rights"
"Gun Control",0.688596491,0.307017544,0.004385965,"Gun Control"
"Gun Control",0.340163934,0.643442623,0.016393443,"Gun Rights"
"Gun Control",0.396475771,0.599118943,0.004405286,"Gun Rights"
"Gun Control",0.610619469,0.380530973,0.008849558,"Gun Control"
"Gun Control",0.432692308,0.567307692,0.000000000,"Gun Rights"
"Gun Control",0.489690722,0.505154639,0.005154639,"Gun Rights"
"Gun Control",0.525345622,0.470046083,0.004608295,"Gun Control"
"Gun Control",0.529702970,0.450495050,0.019801980,"Gun Control"
"Gun Rights",0.482412060,0.502512563,0.015075377,"Gun Rights"
"Gun Control",0.330357143,0.638392857,0.031250000,"Gun Rights"
"Gun Control",0.468879668,0.518672199,0.012448133,"Gun Rights"
"Gun Control",0.571428571,0.404761905,0.023809524,"Gun Control"
"Gun Rights",0.023255814,0.976744186,0.000000000,"Gun Rights"
"Gun Rights",0.454128440,0.500000000,0.045871560,"Gun Rights"
"Gun Rights",0.025423729,0.974576271,0.000000000,"Gun Rights"
"Gun Rights",0.506976744,0.465116279,0.027906977,"Gun Control"
"Gun Rights",0.436619718,0.558685446,0.004694836,"Gun Rights"
"Gun Rights",0.339055794,0.583690987,0.077253219,"Gun Rights"
"Gun Rights",0.230769231,0.764705882,0.004524887,"Gun Rights"
"Gun Control",0.394618834,0.520179372,0.085201794,"Gun Rights"
"Gun Rights",0.451882845,0.523012552,0.025104603,"Gun Rights"
"Gun Rights",0.558375635,0.426395939,0.015228426,"Gun Control"
"Gun Rights",0.393665158,0.597285068,0.009049774,"Gun Rights"
"Gun Control",0.518987342,0.468354430,0.012658228,"Gun Control"
"Gun Rights",0.303797468,0.603375527,0.092827004,"Gun Rights"
"Gun Rights",0.629441624,0.355329949,0.015228426,"Gun Control"
"Gun Control",0.497584541,0.483091787,0.019323671,"Gun Control"
"Gun Rights",0.511111111,0.475555556,0.013333333,"Gun Control"
"Gun Control",0.607476636,0.392523364,0.000000000,"Gun Control"
"Gun Rights",0.597402597,0.350649351,0.051948052,"Gun Control"
"Gun Rights",0.322274882,0.668246445,0.009478673,"Gun Rights"
"Gun Rights",0.036199095,0.959276018,0.004524887,"Gun Rights"
"Gun Rights",0.027272727,0.959090909,0.013636364,"Gun Rights"
"Gun Control",0.774509804,0.225490196,0.000000000,"Gun Control"
"Gun Control",0.497854077,0.484978541,0.017167382,"Gun Control"
"Gun Control",0.726890756,0.273109244,0.000000000,"Gun Control"
"Neither",0.595454545,0.295454545,0.109090909,"Gun Control"
"Neither",0.642857143,0.231092437,0.126050420,"Gun Control"
"Gun Rights",0.389380531,0.606194690,0.004424779,"Gun Rights"
"Neither",0.510822511,0.458874459,0.030303030,"Gun Control"
"Gun Rights",0.583710407,0.416289593,0.000000000,"Gun Control"
"Gun Rights",0.523012552,0.468619247,0.008368201,"Gun Control"
"Neither",0.508474576,0.432203390,0.059322034,"Gun Control"
"Gun Rights",0.366071429,0.629464286,0.004464286,"Gun Rights"
"Gun Rights",0.435185185,0.518518519,0.046296296,"Gun Rights"
"Gun Rights",0.404444444,0.577777778,0.017777778,"Gun Rights"
"Gun Rights",0.500000000,0.500000000,0.000000000,"Gun Rights"
"Gun Control",0.726851852,0.273148148,0.000000000,"Gun Control"
"Gun Control",0.578947368,0.397129187,0.023923445,"Gun Control"
"Gun Rights",0.581497797,0.405286344,0.013215859,"Gun Control"
"Gun Control",0.490099010,0.480198020,0.029702970,"Gun Control"
"Gun Control",0.696202532,0.270042194,0.033755274,"Gun Control"
"Gun Rights",0.457547170,0.504716981,0.037735849,"Gun Rights"
"Gun Rights",0.047808765,0.948207171,0.003984064,"Gun Rights"
"Gun Rights",0.602620087,0.397379913,0.000000000,"Gun Control"
"Gun Control",0.484978541,0.472103004,0.042918455,"Gun Control"
"Gun Control",0.592274678,0.394849785,0.012875536,"Gun Control"
"Gun Control",0.565957447,0.374468085,0.059574468,"Gun Control"
"Neither",0.330143541,0.578947368,0.090909091,"Gun Rights"
"Neither",0.352422907,0.585903084,0.061674009,"Gun Rights"
"Gun Rights",0.369668246,0.592417062,0.037914692,"Gun Rights"
"Gun Control",0.433962264,0.504716981,0.061320755,"Gun Rights"
"Gun Control",0.652777778,0.347222222,0.000000000,"Gun Control"
"Gun Control",0.401709402,0.594017094,0.004273504,"Gun Rights"
"Gun Control",0.633620690,0.362068966,0.004310345,"Gun Control"
"Gun Control",0.578199052,0.421800948,0.000000000,"Gun Control"
"Gun Control",0.471962617,0.509345794,0.018691589,"Gun Rights"
"Gun Control",0.464114833,0.521531100,0.014354067,"Gun Rights"
"Gun Rights",0.485000000,0.515000000,0.000000000,"Gun Rights"
"Gun Control",0.280373832,0.714953271,0.004672897,"Gun Rights"
"Gun Rights",0.381909548,0.547738693,0.070351759,"Gun Rights"
"Gun Control",0.262135922,0.703883495,0.033980583,"Gun Rights"
"Gun Control",0.585470085,0.397435897,0.017094017,"Gun Control"
"Gun Control",0.361990950,0.624434389,0.013574661,"Gun Rights"
"Gun Control",0.500000000,0.459595960,0.040404040,"Gun Control"
"Gun Control",0.660633484,0.316742081,0.022624434,"Gun Control"
"Gun Control",0.617117117,0.378378378,0.004504505,"Gun Control"
"Gun Control",0.368663594,0.566820276,0.064516129,"Gun Rights"
"Gun Control",0.467289720,0.514018692,0.018691589,"Gun Rights"
"Gun Rights",0.258928571,0.723214286,0.017857143,"Gun Rights"
"Gun Control",0.561946903,0.411504425,0.026548673,"Gun Control"
"Neither",0.581196581,0.384615385,0.034188034,"Gun Control"
"Gun Control",0.699530516,0.291079812,0.009389671,"Gun Control"
"Gun Control",0.437500000,0.562500000,0.000000000,"Gun Rights"
"Neither",0.472000000,0.436000000,0.092000000,"Gun Control"
"Gun Control",0.415525114,0.584474886,0.000000000,"Gun Rights"
"Gun Control",0.599156118,0.371308017,0.029535865,"Gun Control"
"Gun Rights",0.377682403,0.596566524,0.025751073,"Gun Rights"
"Gun Rights",0.328358209,0.577114428,0.094527363,"Gun Rights"
"Gun Control",0.466367713,0.484304933,0.049327354,"Gun Rights"
"Gun Control",0.631313131,0.348484848,0.020202020,"Gun Control"
"Gun Control",0.545871560,0.422018349,0.032110092,"Gun Control"
