hashtags,user_desc,text,Category
"['NRA', 'Fail', 'StoodHerGround']","It was my fault. I accidentally crushed a butterfly on MarsÃ¢â€žÂ¢. #NotMyPresident

READ Dad's #WW2 #DDAY Ã°Å¸â€˜â€° https://t.co/TKsafGGsfU","b""If you're a black single mother like Marissa Alexander in Florida, you go to prison for 20 years. #NRA #Fail #StoodHerGround https://t.co/IfV77hd1EN""",Gun Control
"['AR15s', 'NRA']","Writer, Husband, father, Owner of @moranpress, Author of ELLA https://t.co/bd8E9XwAXu #smallbusiness https://t.co/tfYctvxX8k","b'FedEx didn\xe2\x80\x99t want to take sides. \n\nI gladly will choose sides. \n\nI choose life. Not guns. \n\nBAN #AR15s - the weapon of terrorists and mass murderers. \n\nTo @FedEx, money is more important than your life. \n\nSay NO to the #NRA https://t.co/zHFdtQ7hcB'",Gun Control
"['Delta', 'NRA', 'Delta', 'nomore']",,b'#Delta call bs on Governor and #NRA take #Delta out of Georgia and see how they react!!! We won\xe2\x80\x99t let lobbyists bully you #nomore',Gun Control
"['NRA', 'Unacceptable']",,"b'@gt500cws @Newsweek @CastonChris 1. What violence of lies?  The protests have been virtually non-violent, mostly by women in pink hats and signs.  Yeah, bothering traffic is inconvenient, but not violent.\n2. Respond with a closed fist?? This is a call to violence by the #NRA.\n#Unacceptable'",Gun Control
"['NRA', 'barrelsmoker']","Football and Basketball Fanatic, Music lover of all kinds.",b'When it runs out are you going to pull out your assault rifle?? Fuck off #NRA #barrelsmoker https://t.co/j6fjdfp8ji',Gun Control
['NRA'],Actress in #AntMan2 #13ReasonsWhy and #Mamaboy #EmergencyManagementAnalyst in CA #ResistTrump #Equality4All #LGBTQally #MomOf2 #LoveTrumpsHate #WeWillBeFree,"b'As I previously posted there were 3 schools on lockdown, including our local one. The suspect from one of the schools had an AR-15 in his car. I realized guns don\xe2\x80\x99t kill, people do. That\xe2\x80\x99s true. Do we need to make it easier for them to kill? The #NRA says yes!'",Gun Control
['NRA'],I'm a supply chain planner but I mostly tweet about science and society.,b'If you want to change the world learn how to use Spectrum of Allies Analysis. \n\nIt is the playbook organizers are using as they scheme to take down the #NRA\n https://t.co/sYAO3t6Toz',Gun Rights
"['NRA', 'ratbastards', 'NRA', 'AR15']","Fly-over state native who moved to NY and made good. Love family, God, sports, politics in that order, but this is where I express my political opinions.",b'@ragwoman Media holding you and #NRA accountable for utterly irresponsible statements. So they are #ratbastards as opposed to #NRA folks who put #AR15 in hands of mass killers?',Gun Control
"['NRA', 'TrumpCult', 'ParklandStudents']",,b'@Trumptweets2020 @AnsareSummers I oppose both the #NRA and the #TrumpCult AND you @realDonaldTrump.\n\nAnd guess what?  I am not the least bit afraid of either you or the NRA.\n\nI support #ParklandStudents and I also believe you should be impeached for the Russian scandal.',Gun Control
['NRA'],Astrology for the people!,"b'@SparkAstrology There\xe2\x80\x99s already a \xe2\x80\x9cMedicaid for All\xe2\x80\x9d bill from the Dems. November 6, 2018 will likely be one of the biggest \xe2\x80\x9cwave elections\xe2\x80\x9d in US history. I think the #NRA issue is the nuclear fuel that will make this one epic. It\xe2\x80\x99s literally gone to Pluto-level for these kids. They\xe2\x80\x99ve learned.'",Gun Control
"['NRA', 'Guncontrol', 'gunsense']",Follow to Discover all of your Gun Safety Needs! Get More Info In Each Tweet. Shop For Gun Safety On Amazon Today. #NRA *** https://t.co/eY9FHnF0FI ***,b'Gun Safety: Home Defense and Concealed Carry https://t.co/34BX2zm3ED #NRA #Guncontrol #gunsense https://t.co/WwBYKUTQzW',Gun Rights
"['EdStetzer', 'NRA']","a genuine servant/life-slave of Jesus, growing and learning, and a friend of the honorable Jewish people in Israel and around the world","b'Yes, the interim ""senior"" ""teacher"" at Moody Memorial church seems to be trying to dissuade people from upholding the US Constitution against the NWO criminals and mercenaries. (PS NRA not 100% helpful either) ~ See for yourself - #EdStetzer, #NRA \n\nhttps://t.co/MLKgPKX0ev'",Gun Rights
"['nra', 'guncontrol', 'gunsafety', 'gunsense']",Follow to Discover all of your Gun Safety Needs! Get More Info In Each Tweet. Shop For Gun Safety On Amazon Today. #NRA *** https://t.co/eY9FHnF0FI ***,b'Bobby Meets the 4 Cardinals of Gun Safety https://t.co/AQze4GgR7Q #nra #guncontrol #gunsafety #gunsense https://t.co/P41DzNUEPL',Gun Rights
"['florida', 'Parkland', 'NRA', 'Benghazi', 'OBAMAGATE', 'DRAINTHESWAMP', 'FISAgate', 'Qanon']",Truth is patiently waiting for your YES vote.  Truth will not change just because you want something different.,"b""There are many Friday's....\nThis Sherrif must be held accountable.\n\nFire him today.\n\n#florida\n#Parkland\n#NRA \n#Benghazi\n#OBAMAGATE\n#DRAINTHESWAMP\n#FISAgate\n#Qanon\n@potus\n https://t.co/5boeHKnEW0""",Gun Rights
"['NRA', 'WGBH']","I'm a guy living a typical American life. 1973 - 20XX. Trying to change my ""-"" to a ""+"". My business's Twitter username is @617HubEdge.","b'@wgbhnews Really?! I\xe2\x80\x99m not surprised by WGBH. Let\xe2\x80\x99s keep schools gun-free zones so the kids there continue to be shooting ducks. You\xe2\x80\x99d like that, right? #NRA #WGBH'",Gun Rights
"['PR', 'crisispr', 'NRA']","Award-winning, NYC-based PR consultant w/25+ yrs. exp. & M.S. in EdTech; personal account is @jocelynbrandeis","b'Agreed! Huge #PR fail\n\nWill b case study in how not 2 handle a #crisispr situation &amp; how 2 lose customers fast. Guaranteed, no biz caught up in this #NRA controversy ever prepared 4 something like this. But @FedEx is the only co ""standing their ground"" (get it?) 2 b in the wrong. https://t.co/j8r1DsjQ9M'",Gun Rights
['NRA'],Time cures all defects.  Vietnam combat veteran.  NRA member.  Libertarian.  DAV member.  AF&AM member. I am old but still have a Minute Man's spirit.,b'@FoxNewsInsider @DLoesch Props for Dana for taking the heat.  Law enforcement failed to protect students.  NICS fails to protect all of us. #NRA',Gun Rights
"['Garguilos', 'NRA', 'MichealsOfBrooklyn']",Live Free! Let The Enemy Die.,"b'@JrzyJoePiscopo #Garguilos cancelled an #NRA event because of ""community pressure"" - #MichealsOfBrooklyn should sponsor the event. Show the Colors!'",Gun Control
['NRA'],,"b""One thing about being pro gun is that the left wing in-laws will have to get a hotel if they come to town because they don't want to sleep in a house with a firearm in it. #NRA""",Gun Rights
"['NRA', 'POTUS', 'DeltaAirlines', 'BoycottNRA']","Democrats are terrified the Trump Presidency will succeed. Rather than offering better policies they deceive, obstruct & sabotage... fighting truth with lies.","b'\xf0\x9f\x92\xa5Delta Airlines and others Refuse to Discriminate against Any Customer Based on Race, Gender, or Political Belief.\n\n\xf0\x9f\x92\xa5So Why Discriminate Against 6M+ NRA Supporters of Our 2nd Amendment? \n\n\xf0\x9f\x92\xa5BTW Planned Parethood Killed 328K babys 2015-16\n\n#NRA #POTUS #DeltaAirlines #BoycottNRA https://t.co/v50knHTm1K'",Gun Rights
"['GunControlNever', 'guncontrol', 'SecondAmendment', '2ndAmendmentRights']","Robert Underdunk Terwilliger Jr., PhD. Graduate of Yale, Genius, Member of the Republican Party, Actor, Scientist, Former Mayor of Springfield","b""Here's your mic drop argument for 2A #GunControlNever #guncontrol #SecondAmendment #2ndAmendmentRights https://t.co/sw7pfzLnKf""",Gun Rights
"['Sanford_Florida', 'Flash', 'NRA']",Formerly on Twitter as matelamotgagot. Now Agent_X01;  News that matter for the masses but un-fit for the less than1%. Agent  X. Does not follow the degenerates,"b'Mon 05 Mar 2018 #Sanford_Florida: &lt;#Flash\xf0\x9f\x92\xa5&gt; Sanford, Florida police responding to \xe2\x80\x98shooting\xf0\x9f\x92\xa5 with injuries\xe2\x80\x99 in parking lot of Seminole Towne Center shopping mall\xf0\x9f\x93\x8c. [Another #NRA disaster]'",Gun Control
"['NRA', 'LockThemAllUp']",Off-road racing news in SA and the Dakar! My dream to go to #Dakar one day...Prowdly South African.I follow back! I FOLLOW THE LION OF JUDAH!ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â¿ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â¦,b'@realDonaldTrump @POTUS this tweet of @BarackObama is encouraging young people to protest against the #NRA is it not illegal to whip up or stir up protests like this terrorist is doing here? #LockThemAllUp https://t.co/M7ZByeF9RO',Gun Rights
"['NRA', 'SupportTheNRA']",Just here to have fun,b'Why are people mad at the NRA when the only reason the NRA has power is because of the hung number of average every day people who are willing to pay money to be a member and the are willing to pay because the nra supports there political ideals #NRA #SupportTheNRA',Gun Rights
"['thread', 'NRA']","it's not me they fear
it's youÃ°Å¸â€˜â€°
#ynwa
#dontbuythesun
#lfc
#corbyn
definition of centrist: I'm doing just fine, let's maintain the status quo",b'#thread a postumous retort to the American gun lobby #NRA https://t.co/EtkYxQdlwG',Gun Control
['NRA'],"deer season, roping calves, kids shooting skeet, still need a normal lady that loves to stay in bed, as long as possible or wherever we are","b'#NRA does so much good for millions. Teaching classes on youth safety, for hunters. Providing meat to the poor, that are blessed to receive a freezer full of venison for the winter. And, Automatic Weapons are banned: Enacted: 73rd United States Congress\nEffective: June 26, 1934'",Gun Rights
['NRA'],Life long Democrat. I care about people.#Restistance #FBR,b'Read this #NRA https://t.co/qWcPo0agkL',Gun Control
"['NRA', 'NRAIsATerroristOrganization']",,"b'@FoxNews The killer was a very sick homocidal maniac who was begging for help but was totally ignored by every authority that we pay to recognize the threat he represented . Please dont use the weapon and the NRA as a scapegoat..#NRA ,#NRAIsATerroristOrganization ,@msnbc,@DRUDGE ,@maddow'",Gun Rights
"['NRA', 'IngrahamAngle', 'anncoulter']",,b'@United rejects  the #NRA members and supporters. What\xe2\x80\x99s next? No tea party? No prolife? Free flights for illegal immigrants? You stink @United  #IngrahamAngle #anncoulter',Gun Rights
"['GunSafety', 'NRA', 'GunControl']",Follow to Discover all of your Gun Safety Needs! Get More Info In Each Tweet. Shop For Gun Safety On Amazon Today. #NRA *** https://t.co/eY9FHnF0FI ***,b'Stack-On PDS-1500 Gun Safe https://t.co/TDIANAoiVi #GunSafety #NRA #GunControl https://t.co/lCwFdmxrOE',Gun Rights
"['GunSafety', 'NRA', 'Guns', 'GunControl', 'UnitedBlue', 'gunsense']",Follow to Discover all of your Gun Safety Needs! Get More Info In Each Tweet. Shop For Gun Safety On Amazon Today. #NRA *** https://t.co/eY9FHnF0FI ***,b'The Gun Book for Boys https://t.co/rPUMKNRiyA #GunSafety #NRA #Guns #GunControl #UnitedBlue #gunsense https://t.co/sKzTGLoEOO',Gun Rights
['Nra'],Don't retreat RETWEET! Progressive pain in the ASS! Suck it teabags! #theresistance,b'@CaseyCagle FUCK YOU AND FUCK THE #Nra',Gun Control
"['Parkland', 'BSO', 'NRA']","Freelance photo journalist, retired. ÃƒÂ¯Ã‚Â£Ã‚Â¿ #MarineVeteranWife #Mises #Bastiat #libertarian #2A #TGDN (RTs do not necessarily signify endorsement.)","b'@mauitam @andylassner @RealJamesWoods @NRA Have you lost a child?\n\nThe \xe2\x80\x9cwhat ifs\xe2\x80\x9d haunt you in those darkest hours. Your rage at the object and the persons involved tear your heart out. Finally, you realize the mistakes that erased that precious life were human ones. In #Parkland, #BSO owns the failures not the #NRA'",Gun Control
['NRA'],"Brooklyn born Atlantan, Dad, Technologist, MBA, Kappa, S.C.State, Ga State. Fan of...My son, our Sun, Animals, Art, Falcons, Okra, Relieving an itch, and Obamas","b'@shannonrwatts @debv219 If somehow the ""arming teachers"" story became ""nation demands #NRA uses money spent on politicians be shifted to purchasing and donating guns to schools"" story we wouldn\'t hear any repubs suggesting arming teachers.'",Gun Control
"['Trump', 'NRA']",Nothing refreshes like the cool bamboo of rational thought.,b'#Trump tool @DevinNunes is to the House Intelligence Committee\nwhat\n#NRA rentboy @MarcoRubio is to the whole Senate:\n\n\xe2\x80\xa2 enjoys the pay\n\xe2\x80\xa2 loves the influence\n\xe2\x80\xa2 isn\xe2\x80\x99t really qualified\n\xe2\x80\xa2 hates the actual work\n\xe2\x80\xa2 tries not to do the real work\n\xe2\x80\xa2 does what he is levered to do.\n\n\xf0\x9f\x98\x90 https://t.co/5XYZw0FFZw',Neither
"['MeToo', 'Parkland', 'Trump', 'NRA']",,b'@SheriffClarke Another 4 AM TWEET. Anybody who is up in the early early morning Tweeting has a serious mental problem. @FoxNews @foxandfriends which is 100% Fake News &amp; lies. YOU R working directly w/ @KremlinRussia @PutinRF_Eng @RussianFSB #MeToo #Parkland @CNN @maddow #Trump #NRA @abcnews',Neither
['NRA'],"I love public radio, anyway...","b'.@FedExNews: Additional facts related to the @FedEx response on the National Rifle Association, gun safety and policy. https://t.co/rXevt7LGiO   #NRA @DebraMessing'",Gun Rights
"['Solutions', 'Guns', 'GunControl', 'bumpstocks', 'feedbackloopy', 'government', 'suicides', 'murders', 'tyranny', 'proliferation', '2ndAmendment', 'nra', 'schoolshooting', 'massshootings', 'ar15', 'assaultweapons']","Solution Tinkerer, Problem Solving Theoriest as to #jobs, #economy, #homelessness, #immigration, #racism, #diversity, #whiteprivilege, etc. Ãƒâ€šÃ‚Â·Ãƒâ€šÃ‚Â· part of @rtc5comm","b'\xe2\x80\x93\xe2\x80\x93\xe2\x80\x93\xe2\x80\x93\xe2\x80\x93\xe2\x80\x93\xe2\x80\x93\xe2\x80\x93\xe2\x80\x93\n\nEND Of The #Solutions Tweets Hour!\n\nMonday-Friday, 330\xe2\x80\x93430\n\nTOPIC: #Guns AND #GunControl \xe2\x80\x93 #bumpstocks #feedbackloopy #government #suicides #murders #tyranny #proliferation #2ndAmendment #nra #schoolshooting #massshootings #ar15 #assaultweapons https://t.co/6uOtChe7kN'",Neither
"['NRALifeMember', 'NRA']","http://t.co/JavM3jyIUX Politics, Religion, and Truth - The most important things are discussed.",b'Just bought a lifetime membership to the #NRALifeMember #NRA',Gun Rights
"['backgroundchecks', 'FalseFlag', 'Guncontrol', 'backgroundchecks']",Take back our nation from the treasonous NWO. EXPOSE TRUTH! UNITE as Brothers and Sisters in CHRIST!  Rugby. Music. Art. Poetry #MAGA #MBGA #NRA #GunsSaveLives,b'#backgroundchecks are step #1 in the process of confiscating firearms as they create lists of all guns/owners. #FalseFlag shootings create false scenarios promoting more backgroundchecks and #Guncontrol. Stop falling for disinfo! #backgroundchecks=support for gun confiscation.',Gun Rights
"['NRA', 'politics']",Tweet This is the Official Alan Powell page Tweet,"b""@CaseyCagle @Delta @NRA What will you do if @Delta suddenly decides to offer discounts?  I'm not for the tax breaks but make the decision on what's best for the state economy not #NRA #politics""",Neither
"['NRA', 'DavidHogg']","Second Amendment Activist, backpacker, computer enthusiast.",b'This is what happens when useful idiots get in over their heads.\n\n#NRA #DavidHogg @davidhogg111 https://t.co/E6WIY9eOab',Gun Rights
"['DanaLoesch', 'NRA', 'kwilli1046']","Holder of an alternative view. Geek, Gay, Asperger's. Eccentric Genius, avid photographer. Likes: History, Politics, & National Trust. Contributor @altnewsmedia","b""CRIMINALS don't obey laws\nAll of the mass shootings have been registered LIBERAL DEMOCRATS\nThey are the violent ones, not law-abiding American NRA members\nVIDEO: THE NRA STRIKES BACK: #DanaLoesch &amp; the #NRA Let the Gun\xe2\x80\xa6 https://t.co/F5wFcjp6dY by #kwilli1046 via @c0nvey""",Gun Rights
"['BrowardCowards', 'ResignSheriffIsrael', 'GunControl', 'NRA']","We follow fast! If youÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢re here because you liked one of our tweets, then Follow for the best news and humor with a Conservative slant!  ÃƒÂ°Ã…Â¸Ã‚ÂÃ‹Å“ÃƒÂ°Ã…Â¸Ã¢â‚¬â„¢Ã‚Â¨",b'I\xe2\x80\x99m not handing my guns over to the same police department that stood by while 17 kids were slaughtered. \n~@benshapiro\n\n#BrowardCowards \n#ResignSheriffIsrael \n#GunControl \n#NRA',Gun Rights
"['nra', 'guns', 'History']","Serial Entrepreneur! Love the USA! Love #POTUS! #Travel, Taming Tigers, Castrating Rhino's, and Slaying Dems...Life @NRAÃ°Å¸â€¡ÂºÃ°Å¸â€¡Â¸","b'""Turn in your guns; the Government will take care of you""   NOT!  they would love you to believe that narrative. #nra #guns #History https://t.co/80qFAsz6qy'",Gun Rights
"['NRA', 'LookAtUs', 'TYTLIVE']","Pres candidate for PROGRESS 2020 DNC ticket this time. Will give all the power to all the People. ALL RIGHTS RESTORED, MFG. Jobs USA quality #FBR #TheResistance",b'WHO EVER THOUGHT ARCHIE BUNKER WOULD SOUND LIKE THE GOP #NRA? Guns on planes sounds like their next brilliant stupid idea. Glad I got the graduate 1977 #LookAtUs @cenkuygur #TYTLIVE @Thom_Hartmann @LeeCamp @RealTimBlack @DanRather @dpakman @Emma4Change @sarahchad_ @davidhogg111 https://t.co/dA4afaewo2',Gun Control
['NRA'],"Lover of Justice and all things #Peaceful & #Humorous. #Feminist, Proud member of the #Resistance and creator of #OverheardintheOval. #1 goal:#live #laugh #love","b""@Jenisplendid orange looks good on you! Thanks for representing Ohio kids and our business's in a way that makes us proud! I think @FedEx is going to learn @jenisicecreams has far more than the #NRA 's 5 million members. https://t.co/v3trtqZw1B""",Gun Control
['NRA'],It's better to be a lion for a day than a sheep all your life. independent thinker not taking the normal path.,b'Pretty typical that the Dems pounce on what used to be a something they stood for. Shows you just how far the left is being controlled by the fringe element.  #NRA https://t.co/UdanqWwlmW',Gun Rights
['NRA'],You come here to escape life's realities I just come here for sport.,"b""@rachie11125 If they don't stand with you during your times of injustice don't stand with them during their time in theirs.. support those who support you. I don't see any prominent white folks standing up on capitol hill when a human of any race is gunned down. So fight the #NRA by yourself.""",Gun Control
['NRA'],"MSU Spartan fan from birth, Detroit Lions fan for life.  Anti-fascism, anti-racism, anti-bullying.  #TeamResist #LoveTrumpsHate","b'We need more people like @Mindi4Congress in Congress.  Get #NRA money out of decision making, and ban military weapons for civilian use. https://t.co/C10PXBouOA'",Gun Control
"['nra', 'CommonSense']",Truck driver. Breanna White is my bride to be. I have a daughter. I like milk steak and jelly beans.,"b""It's harder to drive a car than it is to fire a gun.\nMore people die each year from car accidents than by any firearm.\nGun ownership is common sense. More crimes are committed with illegal guns than with legally purchased ones.\n#nra #CommonSense @DLoesch https://t.co/ZPhiDfgHTu""",Gun Rights
"['nra', 'gunsafety', 'guncontrol']",Follow to Discover all of your Gun Safety Needs! Get More Info In Each Tweet. Shop For Gun Safety On Amazon Today. #NRA *** https://t.co/eY9FHnF0FI ***,b'Sentry Safe Biometric Quick Access Pistol Safe Model # QAP1BE https://t.co/FuVospbsQk #nra #gunsafety #guncontrol https://t.co/YbrR4s8YRs',Gun Rights
"['nra', 'fascist', 'NRABoycott', 'BoycottDelta']","FAVS - Book: Seventh from Adam, Song: They Might Be Giants, Band: Daughters of Men.","b'@CaseyCagle @Delta @NRA Back of the Airbus for @NRA members...\nReminds me of the Democrat\'s ""No Guns for Negroes"" campaign.  Now it\'s ""No discounts for NRA members"" (that\'ll teach the #nra to oppose the kkk back in the day). #fascist airline in America. #NRABoycott #BoycottDelta https://t.co/XsDZ7Tf3fE'",Gun Rights
['NRA'],"Radio Host of The Norman Goldman Show. Lawyer, radio Senior Legal Analyst. Teacher of law, civics and politics! A broad-based radio show that eschews labels.","b'Which one of these is unlike the others: Political reform, tax reform, immigration reform, welfare reform...gun control. The #NRA wants that word ""control"" as the imaging for big government coming to take our freedoms. Calling it ""gun control"" is doing the NRA\'s dirty work for it'",Gun Control
"['ClassActionLawsuit', 'MAGA', 'NRABloodMoney', 'NRA', 'Parkland', 'SandyHook', 'Vegas', 'PuertoRico']","Ã¢Å“Â¨ACTIVISTÃ¢Å“Â¨: #Resistance



#HumanRights 

#EDUÃ¢Â­Â

#ERAÃ°Å¸Å’Â±#ECO

Ã°Å¸â€˜â€°#DisasterAssistTeam







Female owned construction company",b'@DutyOfAPatriot #ClassActionLawsuit\n#MAGA\nagainst your DONORS\n\n#NRABloodMoney \n#NRA\n#Parkland\n#SandyHook\n#Vegas\n\nYou Censored votes \nfor \nGUN control to make a buck\nand murdered your own citizens.\nI also gave @CarmenYulinCruz\nInfo for \n#PuertoRico \n\n@BadProductionz\n\nhttps://t.co/Hf7lT3a9AF https://t.co/zLBcNqZE0d',Gun Control
"['Delta', 'NRA', 'caseycagle']",What lies behind us and what lies before us are tiny matters compared to what lies within us - Ralph Waldo Emerson-,b'We asked #Delta to stop business with #NRA so we need to stand behind them with this attack from #caseycagle\n\nContact his office and tell them to back off \n(404) 656-5030 https://t.co/SpZQrudPxP',Gun Control
['NRA'],"Loves God,  Loves family, love 2 laugh, have fun, Actress in Los Angeles, Miami, Fl & New York","b'@BarackObama Mr President we \xe2\x9d\xa4 u &amp; miss u but we need help cause we cannot let this #45 liar get re- elected. He has already started 2 campaign 4 re-election Our kids need better  this. Hes lied on u, over&amp;over on the dems these companies hv dropped from the #NRA, ppl r fed up! https://t.co/a20GuCgZs7'",Neither
"['usa', 'NRA']",#ENDHOAAbuse #FairhousingRights,b'agree this is one fked up country where corrupt female politician gets away with crimes of all kinds and media is trying to destroy our President instead of her help me understand what is happening the courts are going rogue something is seriously off in the #usa @WhiteHouse #NRA https://t.co/vDskReNTy7',Neither
"['Opinion', 'WorldPeace', 'NAZI', 'Hitler', 'NRA', 'Gestapo', 'LeSigh', 'WakeUp', 'UN', 'NATO', 'Canada', 'HeadInSand', 'AcadianWolfe']","Time to share my thoughts, and do what I can to help others.","b'This is my #Opinion, based on occurances, which appear to undermine #WorldPeace. @POTUS @realDonaldTrump is going down a very similar path as #NAZI leader #Hitler, while the #NRA mimic #Gestapo. #LeSigh #WakeUp #UN #NATO #Canada #HeadInSand #AcadianWolfe  https://t.co/JZ6HEv3kP3'",Gun Rights
"['NRA', 'TrumpsAmerica']",Freelance professional Event / Occasion Photographer; second shooter; Details Photographer; On-site photo printing for hire.,b'Will the rise of teenagers turn the tide against the #NRA and #TrumpsAmerica or will their right to vote be minimized by an age hike to let\xe2\x80\x99s say 25?',Gun Control
"['NRA', 'millenials', 'ParentsSuppot']","Profesional Registered Pediatric ER/ICU/Trauma nurse RN ., BA., MSN","b'@lindley_mc @AMarch4OurLives @Emma4Change @cameron_kasky @delaneytarr @Ryan_Deitsch @JaclynCorin @sofiewhitney @chrisgrady5 @al3xw1nd @sarahchad_ @lexforchange @evilemilie @davidhogg111 #NRA has the money to fight you, but #millenials are better fighters w technlogy. Children are scared to be unsafe in schools from daycare K -12 &amp; universities. You experienced was real, the outside support response was poorly                     Sue everyone #ParentsSuppot'",Gun Control
"['NRA', 'EVIL', 'KILLTHENRA']","Disney fan! 

Photoshop, Photography and Computer expert!",b'@Newsweek #NRA is most #EVIL #KILLTHENRA',Gun Control
"['FlipItBlue2018', 'NRA']",,"b'Without a doubt we need idiot control, but we keep electing folks like @SenJohnKennedy anyway. The only way to get reasonable gun laws is to #FlipItBlue2018 The @gop is a bought and paid for  subsidiary of the #NRA  @CNNPolitics https://t.co/EeqesJjeD7'",Gun Control
['NRA'],#Atheist  #ProudCanadian #AntiTrudeau #human,b'@WITACBodyArmor @NRATV The #NRA needs to smarten the hell up',Gun Control
"['nra', 'ridiculouspolitics', 'racist']",The world would be a better place if we were less critical of others. Political parties are completely biased and hateful.,b'@nowthisnews This evil at its best. It seems to me that the NRA feels that they are better than everyone else in the world. I guess I would call it \xe2\x80\x9cNRA Supremacy\xe2\x80\x9d. #nra #ridiculouspolitics #racist',Gun Control
"['NRA', 'Chicago']","Johns Hopkins University, Carey Business School Senior Lecturer, journalist, contributing anchor NPR and POTUS. Sirius XM. Columbia Univ. J-School.",b'@JSwiftTWS Also - re: Chicago guns - which I guess is on the talking points list - so I guess the #NRA must be heavily invested in youth recreation centers and career training in #Chicago? Because it really seems to matter to them - that\xe2\x80\x99s what they say anyhow',Gun Control
['NRA'],"Beware! I'am an #Atheist Follow me, I follow you. Unfollow me, I unfollow you. Want another follower? Follow me!","b'@StopTrump2020 Maybe because the #NRA is ""under attack""?'",Gun Rights
"['NRA', 'FedEx']","Author, Singer, Navy Vet, Small Business Owner of Transporting Peeples LLC., Creator of #PeeplesStoreProject - stay tuned for this","b'@Goss30Goss @FedEx #NRA is a sinking ship. Do you really want to attach a line to a sinking ship, #FedEx? How many children have to die?'",Gun Control
"['NRA', 'GunControl', 'schoolshooting']","God is great! 

BJJ blue belt. 

I love my bÃƒÆ’Ã‚Â©bÃƒÆ’Ã‚Â©ÃƒÂ¢Ã‚ÂÃ‚Â¤ she pushes me to be the best I can be, and I push her.

Dream big, set goals, and conquer them.","b""4/4 don't manipulate their minds and hand them a weapon. You're not going to poke at a hungry lion with a stick and expect not to get attacked. I'm not sticking up for these criminals but I'm also not going to be blind to this game of politics. #NRA #GunControl #schoolshooting""",Gun Rights
"['NRA', 'VETs']","Grandson of VET, Son of VET, Retired VET & Father of MOPH VET. #PTSD, #TBI, #ThankaVETVOTE Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸Tecumseh was right! Ride a Harley. SELLERS/TROLLS Blocked. #FSTYS",b'https://t.co/FhRIRfvS0Z\n\xf0\x9f\xa4\x94...now they #NRA question #VETs service to country?',Gun Control
"['TYTLive', 'NRA', 'DanaLoesch', 'NRAtv']","US Navy vet 9 patrols FBM nuke sub, retired ILWU, liberal, UCF alumni, member church of the organic sacrament, married to Sweetie P 28 yrs",b'#TYTLive @TYTNetwork\n@cenkuygur @JayarJackson \nthe #NRA is very afraid the public is getting the message they are a terrorist organization with #DanaLoesch declaring war on liberals as sponsors and streaming services cut ties with #NRAtv https://t.co/qWruIzbKIR',Gun Control
['NRA'],"Anti-Trump, Anti-NRA, Anti-Racist, Anti-homophobic, etc...","b""NRA LIES\n\nThe #NRA's Dana Loesch Says It ISN'T a 'LOBBY GROUP'\n\nBut It Spent $5 Million on Lobbying Last Year\n https://t.co/ePgbM2jyLE""",Gun Control
['NRA'],"This bio couldnÃ¢â‚¬â„¢t possibly capture my essence. Foreign policy scholar,#Feminist, occasional #artist. #BLM #DefendDACA Ã¢ÂÂ¤Ã¯Â¸ÂLetÃ¢â‚¬â„¢s talk #UNCLOS while I do my #makeup",b'@longlivekcx @lizinpdx \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbbBravo! Pro-#NRA bots gone crazy tonight-watch out!',Gun Control
"['NRA', 'BoycottNRA', 'Lockton']","Dog mom.  Book reader.  Pacifist.  Third Culture Kid.  
In love with a wonderful guy.  
Blessed.","b""@Lockton - Thanks for stepping up and cancelling contract with #NRA   Please don't establish new contract with them under different terms (your language was just a little bit concerning).  We will remain vigilent and watchful.\n#BoycottNRA \n#Lockton""",Gun Control
['NRA'],We ainÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢t here to debate w small minded Trump humpers. yÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢all are a lost cause. but your children & grandchildren will be voting blue 4life #DeleteFacebook #FBR,b'@CaseyCagle @Delta @NRA Oh Casey. How ironic you say you\xe2\x80\x99ll kill it. Bc that\xe2\x80\x99s all you #NRA scumbags know how to do. I sure do hope your constituents kill your career next election.',Gun Control
"['TuesdayThoughts', 'NRA', 'real', 'power', 'USA']","Influencer, Strategies, A.I., Manifest Outcomes, Food Tourism, Fitness, Super Abs, Longevity, Genetics, Energy Enthusiast",b'#TuesdayThoughts NRA says no gun control. Their word is law in USA. #NRA #real #power #USA https://t.co/7wE2Jw9TED',Gun Control
